Method,Recall@10,MRR@10,NDCG@10,Avg Latency (s)
Dense,0.8,0.5145833333333333,0.5865986575892966,1.237488055229187
BM25,0.5,0.29464285714285715,0.3441038292828832,0.2792840480804443
Hybrid (RRF),0.8,0.5933333333333334,0.6455285910760187,1.297946524620056
Hybrid+Re-rank,0.8,0.7,0.7261859507142916,123.31275931596755
